id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Mozes,Chape,XGTIW,Consumer Durables,NASDAQ,"XG Technology, Inc",n/a,$61242.80
2,Nicoline,Kilalea,FCEL,Miscellaneous,NASDAQ,"FuelCell Energy, Inc.",$65.53M,$20581.67
3,Andriette,Whitlam,FCH^A,Consumer Services,NYSE,FelCor Lodging Trust Incorporated,n/a,$88251.56
4,Moreen,Say,SPXX,n/a,NYSE,Nuveen S&P 500 Dynamic Overwrite Fund,$250.2M,$76984.21
5,Haskell,Filchakov,TFX,Health Care,NYSE,Teleflex Incorporated,$9.03B,$69405.40
6,Vladamir,Frew,FITB,Finance,NASDAQ,Fifth Third Bancorp,$19.11B,$9543.43
7,Debora,Jehaes,PGTI,Capital Goods,NASDAQ,"PGT Innovations, Inc.",$610.36M,$99504.15
8,Madelyn,Oakes,MSLI,Health Care,NASDAQ,Merus Labs International Inc.,$143.17M,$72879.08
9,Jarrid,Younglove,HST,Consumer Services,NYSE,"Host Hotels & Resorts, Inc.",$13.86B,$71104.77
10,Lynn,Kowalski,SBNB,Transportation,NYSE,Scorpio Tankers Inc.,n/a,$22850.98
11,Elaine,Doge,XL,Finance,NYSE,XL Group Ltd.,$11.51B,$22507.24
12,Henrik,Maffulli,CBF,Finance,NASDAQ,Capital Bank Financial Corp.,$1.99B,$94461.75
13,Reece,Grishenkov,WMK,Consumer Services,NYSE,"Weis Markets, Inc.",$1.3B,$60786.52
14,Ingemar,Curwood,CUBS,Finance,NYSE,"Customers Bancorp, Inc",n/a,$94413.39
15,Bary,Chiverton,TCF,Finance,NYSE,TCF Financial Corporation,$2.72B,$77624.20
16,Hettie,Merrell,MFA,Consumer Services,NYSE,"MFA Financial, Inc.",$3.2B,$66484.11
17,Sawyere,MacCleay,BLMT,Finance,NASDAQ,"BSB Bancorp, Inc.",$292.59M,$53124.31
18,Osbourn,Arpur,ZBRA,Technology,NASDAQ,Zebra Technologies Corporation,$5.5B,$24991.86
19,Leon,Dioniso,TCRD,n/a,NASDAQ,"THL Credit, Inc.",$324.65M,$45611.58
20,Rafaello,Swiffen,GGB,Capital Goods,NYSE,Gerdau S.A.,$4.61B,$13702.12
21,Willette,Kehir,ASB^D,n/a,NYSE,Associated Banc-Corp,n/a,$64539.18
22,Duky,Cordero,REGN,Health Care,NASDAQ,"Regeneron Pharmaceuticals, Inc.",$48.88B,$54101.96
23,Glenda,Alldis,XENT,Health Care,NASDAQ,"Intersect ENT, Inc.",$749.53M,$71745.43
24,Emilio,Draysay,IIPR,Finance,NYSE,"Innovative Industrial Properties, Inc.",$61.03M,$15714.31
25,Hewitt,Ferrone,TACOW,Consumer Services,NASDAQ,"Del Taco Restaurants, Inc.",n/a,$68943.76
26,Cassandre,Duerden,NW^C,Finance,NYSE,Natl Westminster Pfd,n/a,$31113.99
27,Benny,Trout,LLY,Health Care,NYSE,Eli Lilly and Company,$90.35B,$21841.38
28,Aloysia,Roseborough,NNDM,Technology,NASDAQ,Nano Dimension Ltd.,$60.98M,$61440.61
29,Novelia,Ruggs,MGM,Consumer Services,NYSE,MGM Resorts International,$18.74B,$38860.77
30,Pernell,Goslin,MYE,Consumer Non-Durables,NYSE,"Myers Industries, Inc.",$551.95M,$77188.25
31,Angus,Twigger,EEX,Miscellaneous,NYSE,"Emerald Expositions Events, Inc.",$1.6B,$62524.23
32,Hildegarde,Godridge,OLN,Basic Industries,NYSE,Olin Corporation,$4.89B,$8039.20
33,Efren,Bennough,AERI,Health Care,NASDAQ,"Aerie Pharmaceuticals, Inc.",$1.8B,$25298.85
34,Julius,Dewes,TBBK,Finance,NASDAQ,"The Bancorp, Inc.",$400.41M,$35501.85
35,Jessika,Meneer,PSTG,Technology,NYSE,"Pure Storage, Inc. ",$2.77B,$32444.69
36,Cyrus,Spry,LABL,Miscellaneous,NASDAQ,Multi-Color Corporation,$1.46B,$45727.58
37,Pooh,Villaron,TG,Capital Goods,NYSE,Tredegar Corporation,$518.61M,$59163.85
38,Eldredge,Polglaze,UNT,Energy,NYSE,Unit Corporation,$967.2M,$94423.25
39,Akim,Leighton,MYCC,Consumer Services,NYSE,"ClubCorp Holdings, Inc.",$871.53M,$61576.36
40,Shanan,McShane,STI^A,n/a,NYSE,"SunTrust Banks, Inc.",n/a,$92424.10
41,Jone,Arnald,DTY,Public Utilities,NYSE,DTE Energy Company,n/a,$33984.35
42,Bernie,Naris,WMAR,Consumer Durables,NASDAQ,"West Marine, Inc.",$245.88M,$81874.44
43,Vilhelmina,Braisher,ASRV,Finance,NASDAQ,AmeriServ Financial Inc.,$76.54M,$52328.51
44,Brander,Carlsen,HTLD,Transportation,NASDAQ,"Heartland Express, Inc.",$1.73B,$38431.85
45,Francyne,Girardey,PRE^I,n/a,NYSE,PartnerRe Ltd.,n/a,$60980.55
46,Yolande,Petrovsky,MTSI,Technology,NASDAQ,"MACOM Technology Solutions Holdings, Inc.",$3.57B,$80695.19
47,Jennifer,Lots,HBMD,Finance,NASDAQ,"Howard Bancorp, Inc.",$184.1M,$22422.92
48,Adore,Copley,NRE,Consumer Services,NYSE,NorthStar Realty Europe Corp.,$703.42M,$98206.94
49,Cecilla,Duffil,HRS,Capital Goods,NYSE,Harris Corporation,$13.26B,$41980.44
50,Benedikta,Osbourne,MTB^,n/a,NYSE,M&T Bank Corporation,n/a,$80959.58
51,Sena,Haldene,DTLA^,n/a,NYSE,Brookfield DTLA Inc.,n/a,$88388.10
52,Daryl,Kinnie,RNET,Consumer Services,NASDAQ,"RigNet, Inc.",$303.87M,$98010.01
53,Isadora,Terron,NTEC,Health Care,NASDAQ,Intec Pharma Ltd.,$74.19M,$52935.47
54,Anabal,Hares,BBG,Energy,NYSE,Bill Barrett Corporation,$252.54M,$51139.17
55,Kittie,Blaby,CLIRW,Capital Goods,NASDAQ,ClearSign Combustion Corporation,n/a,$11067.37
56,Donia,Ostick,AGR,Public Utilities,NYSE,"Avangrid, Inc.",$14.16B,$69220.88
57,Sax,Benneyworth,BBK,n/a,NYSE,Blackrock Municipal Bond Trust,$162.03M,$15511.31
58,Rodd,O'Codihie,AMTX,Basic Industries,NASDAQ,"Aemetis, Inc",$29.54M,$76324.03
59,Clim,Ludwig,ELOS,Health Care,NASDAQ,Syneron Medical Ltd.,$385.8M,$11915.55
60,Gilligan,Geikie,KEY^I,n/a,NYSE,KeyCorp,n/a,$33744.67
61,Micky,Laurant,FLXN,Health Care,NASDAQ,"Flexion Therapeutics, Inc.",$546.87M,$76819.23
62,Zonda,cornhill,XBIT,Health Care,NASDAQ,XBiotech Inc.,$151.04M,$89474.58
63,Concordia,Brosoli,RNWK,Technology,NASDAQ,"RealNetworks, Inc.",$165.47M,$13890.47
64,Latrina,Billyard,TCF^C,n/a,NYSE,TCF Financial Corporation,n/a,$8574.56
65,Cammie,Iglesias,CETV,Consumer Services,NASDAQ,Central European Media Enterprises Ltd.,$613.79M,$3304.75
66,Evan,Fleming,FCBC,Finance,NASDAQ,"First Community Bancshares, Inc.",$473.38M,$41402.11
67,Avigdor,Deighton,JEC,Basic Industries,NYSE,Jacobs Engineering Group Inc.,$6.48B,$27748.88
68,Lizzy,Stronghill,GMRE,Consumer Services,NYSE,Global Medical REIT Inc.,$164.26M,$59562.60
69,Quinta,Hilley,TEP,Public Utilities,NYSE,"Tallgrass Energy Partners, LP",$3.4B,$40229.96
70,Morly,Giraldon,CVO,Consumer Durables,NYSE,Cenveo Inc,$52.17M,$88679.37
71,Isidora,Sudworth,FARM,Consumer Non-Durables,NASDAQ,Farmer Brothers Company,$517.13M,$10490.48
72,Cathe,O'Cahill,JOF,n/a,NYSE,Japan Smaller Capitalization Fund Inc,$327.82M,$24483.34
73,Antonella,Hens,COF^P,n/a,NYSE,Capital One Financial Corporation,n/a,$98025.96
74,Ardelle,Lovstrom,MS^E,n/a,NYSE,Morgan Stanley,n/a,$95987.26
75,Erin,Briztman,PRXL,Health Care,NASDAQ,PAREXEL International Corporation,$4.24B,$29047.14
76,Leodora,Clemence,PCLN,Miscellaneous,NASDAQ,The Priceline Group Inc. ,$88.58B,$65282.80
77,Alison,Tidswell,ESND,Consumer Services,NASDAQ,Essendant Inc.,$560.24M,$94073.47
78,Walliw,Burnett,TERP,Public Utilities,NASDAQ,"TerraForm Power, Inc.",$1.71B,$7220.47
79,Hali,Chuck,GRIF,Finance,NASDAQ,"Griffin Industrial Realty, Inc.",$157.67M,$8453.17
80,Ashbey,Sor,PWOD,Finance,NASDAQ,"Penns Woods Bancorp, Inc.",$195.66M,$358.64
81,Krissy,Mothersdale,ENH^C,n/a,NYSE,Endurance Specialty Holdings Ltd,n/a,$95370.42
82,Edd,Barltrop,NOW,Technology,NYSE,"ServiceNow, Inc.",$17.19B,$54153.69
83,Dilan,Laurisch,WALA,Finance,NYSE,Western Alliance Bancorporation,n/a,$27803.49
84,Donal,Greber,MIIIU,Finance,NASDAQ,M III Acquisition Corp.,n/a,$47231.65
85,Stanley,Edwin,BML^G,n/a,NYSE,Bank of America Corporation,n/a,$39967.35
86,Jonis,Norcliff,AVAV,Capital Goods,NASDAQ,"AeroVironment, Inc.",$727.12M,$67737.27
87,Tilly,Waymont,DXGE,n/a,NASDAQ,WisdomTree Germany Hedged Equity Fund,$129.61M,$35811.04
88,Hugues,Sweetnam,VIPS,Consumer Services,NYSE,Vipshop Holdings Limited,$6.96B,$55243.12
89,Joell,Wandless,LILA,Consumer Services,NASDAQ,Liberty Global plc,$3.5B,$22404.23
90,Berthe,Lampe,AFGH,Finance,NYSE,"American Financial Group, Inc.",n/a,$35543.94
91,Lay,Maymond,CSWC,n/a,NASDAQ,Capital Southwest Corporation,$258.42M,$70985.00
92,Ernestine,Habershaw,CGIX,Health Care,NASDAQ,"Cancer Genetics, Inc.",$72.13M,$59430.54
93,Cacilie,Ratlee,FTFT,Consumer Non-Durables,NASDAQ,Future FinTech Group Inc.,$13.09M,$62789.52
94,Franzen,Stovell,PCYG,Technology,NASDAQ,"Park City Group, Inc.",$233.93M,$2065.83
95,Jordan,Ephson,ECCZ,n/a,NYSE,Eagle Point Credit Company Inc.,n/a,$77253.43
96,Vladamir,Sterling,LNC.WS,n/a,NYSE,Lincoln National Corporation,n/a,$62044.55
97,Rick,Pepperd,OPHT,Health Care,NASDAQ,Ophthotech Corporation,$93.93M,$51431.09
98,Zollie,Simper,GPT^A,n/a,NYSE,Gramercy Property Trust Inc.,n/a,$59825.75
99,Gustavo,Luxmoore,IHC,Finance,NYSE,Independence Holding Company,$330.01M,$14029.59
100,Clemens,Pringley,WLB,Energy,NASDAQ,Westmoreland Coal Company,$94.06M,$57114.30
101,Hilarius,Lilie,DNR,Energy,NYSE,Denbury Resources Inc.,$569.62M,$31917.98
102,Elke,Ginger,MYC,n/a,NYSE,"Blackrock MuniYield California Fund, Inc.",$326.9M,$83189.72
103,Tiffy,Rojel,GLADO,n/a,NASDAQ,Gladstone Capital Corporation,$56.32M,$56845.96
104,Mufi,Crabb,BKEPP,Energy,NASDAQ,"Blueknight Energy Partners L.P., L.L.C.",$237.43M,$1107.77
105,Oliy,Bingley,CMCSA,Consumer Services,NASDAQ,Comcast Corporation,$195.79B,$51843.86
106,Carmelle,Pinck,PGR,Finance,NYSE,Progressive Corporation (The),$26.04B,$80605.40
107,Ingaborg,Westnage,TARO,Health Care,NYSE,Taro Pharmaceutical Industries Ltd.,$4.57B,$71592.70
108,Hannah,Chappell,INGR,Consumer Non-Durables,NYSE,Ingredion Incorporated,$8.52B,$38306.33
109,Uri,Baron,SLCA,Basic Industries,NYSE,"U.S. Silica Holdings, Inc.",$2.75B,$24610.74
110,Arney,Asquith,LTBR,Consumer Services,NASDAQ,Lightbridge Corporation,$15.36M,$51373.72
111,Cassy,Bourtoumieux,CPST,Energy,NASDAQ,Capstone Turbine Corporation,$28.65M,$28390.35
112,Abbye,Siddle,JSYN,Finance,NASDAQ,Jensyn Acquistion Corp.,$52.88M,$97741.45
113,Dorthy,Curthoys,AHPAW,Finance,NASDAQ,Avista Healthcare Public Acquisition Corp.,n/a,$59057.62
114,Lion,Chalder,GBLIL,Finance,NASDAQ,Global Indemnity Limited,n/a,$156.96
115,Phyllys,Grafham,GDV,n/a,NYSE,Gabelli Dividend,$1.81B,$31348.54
116,Alfi,Massei,CORI,Health Care,NASDAQ,"Corium International, Inc.",$267.54M,$4930.94
117,Jemie,Jantzen,SN,Energy,NYSE,Sanchez Energy Corporation,$618.24M,$58266.54
118,Zorah,Ivanchov,GTT,Public Utilities,NYSE,"GTT Communications, Inc.",$1.35B,$43170.19
119,Clo,Beeswing,BERY,Consumer Non-Durables,NYSE,"Berry Global Group, Inc.",$7.48B,$66673.26
120,Jorie,Mucillo,GDL,n/a,NYSE,The GDL Fund,$186.14M,$68359.22
121,Reagan,Boyde,LDL,Capital Goods,NYSE,"Lydall, Inc.",$907.09M,$89158.38
122,Kendell,Borleace,GLT,Basic Industries,NYSE,Glatfelter,$845.9M,$45590.80
123,Wenonah,Turfs,SPG^J,n/a,NYSE,"Simon Property Group, Inc.",n/a,$73665.50
124,Ernestus,Dilks,NSA,Consumer Services,NYSE,National Storage Affiliates Trust,$990.02M,$26140.59
125,Meridel,Mannering,ETY,n/a,NYSE,Eaton Vance Tax-Managed Diversified Equity Income Fund,$1.73B,$4575.87
126,Celinda,Dafydd,MBFIP,Finance,NASDAQ,MB Financial Inc.,$104.92M,$72881.21
127,Vince,O'Toole,BABY,Health Care,NASDAQ,Natus Medical Incorporated,$1.16B,$12872.93
128,Selestina,Panyer,AGR,Public Utilities,NYSE,"Avangrid, Inc.",$14.16B,$71642.46
129,Julissa,Blease,ECCZ,n/a,NYSE,Eagle Point Credit Company Inc.,n/a,$17230.67
130,Trula,Sailer,DTUS,Finance,NASDAQ,iPath US Treasury 2-year Bear ETN,$8M,$981.92
131,Marcile,Blooman,GOL,Transportation,NYSE,Gol Linhas Aereas Inteligentes S.A.,$6.06B,$8054.38
132,Boyce,Glazzard,CHRW,Transportation,NASDAQ,"C.H. Robinson Worldwide, Inc.",$9.87B,$25555.43
133,Rivalee,Rudwell,BOKFL,Finance,NASDAQ,BOK Financial Corporation,n/a,$73865.77
134,Raye,Cabrera,ELVT,Finance,NYSE,"Elevate Credit, Inc.",$349.39M,$96396.50
135,Leia,Louis,SC,Finance,NYSE,Santander Consumer USA Holdings Inc.,$4.15B,$58897.77
136,Adel,Threadgould,COVS,Technology,NASDAQ,Covisint Corporation,$99.1M,$56937.66
