id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Kort,Dessent,AGTC,Health Care,NASDAQ,Applied Genetic Technologies Corporation,$91.32M,$70550.49
2,Liva,Konert,KCG,Finance,NYSE,"KCG Holdings, Inc.",$1.35B,$15180.89
3,Roderich,Bartrop,RAVE,Consumer Non-Durables,NASDAQ,"Rave Restaurant Group, Inc.",$22.17M,$34718.71
4,Verney,Giacobillo,MMM,Health Care,NYSE,3M Company,$127.36B,$96110.73
5,Hedwiga,Silley,GPRE,Basic Industries,NASDAQ,"Green Plains, Inc.",$868.22M,$17263.86
6,Marcie,Crucetti,JSML,n/a,NASDAQ,Janus Henderson Small Cap Growth Alpha ETF,$6.66M,$71723.94
7,Elnora,Gillooly,TSCO,Consumer Services,NASDAQ,Tractor Supply Company,$7.13B,$19514.87
8,Calvin,Cafferky,DCOM,Finance,NASDAQ,"Dime Community Bancshares, Inc.",$765.84M,$96129.82
9,Zed,Oliphand,TIF,Consumer Services,NYSE,Tiffany & Co.,$11.48B,$88292.01
10,Jard,Langlais,HBANO,Finance,NASDAQ,Huntington Bancshares Incorporated,$21.83B,$89368.82
11,Jarred,Ewols,DEPO,Health Care,NASDAQ,"Depomed, Inc.",$592.24M,$89101.73
12,Lesya,Stolz,VALX,n/a,NASDAQ,Validea Market Legends ETF,$22.64M,$70253.81
13,Ellyn,Worner,IPDN,Technology,NASDAQ,"Professional Diversity Network, Inc.",$31.4M,$74320.88
14,Eula,Cremin,PMTS,Finance,NASDAQ,CPI Card Group Inc.,$127.33M,$67013.02
15,Ermina,Savary,PIZ,n/a,NASDAQ,PowerShares DWA Developed Markets Momentum Portfolio,$200.65M,$38051.87
16,Pam,Leverich,TCRX,n/a,NYSE,"THL Credit, Inc.",n/a,$27166.71
17,Ester,Epelett,GEF,n/a,NYSE,Greif Bros. Corporation,$3.29B,$45814.60
18,Kirstyn,Monaghan,FSCE,n/a,NYSE,Fifth Street Finance Corp.,n/a,$57969.50
19,Gawen,Clayson,KMPR,Finance,NYSE,Kemper Corporation,$2.05B,$49657.62
20,Valle,Dome,KB,Finance,NYSE,KB Financial Group Inc,$19.26B,$49949.66
21,Hamid,Mastrantone,GUT^C,n/a,NYSE,Gabelli Utility Trust (The),n/a,$31223.00
22,Hugues,Sprake,LXP^C,n/a,NYSE,Lexington Realty Trust,n/a,$86127.15
