Customer ID,First Name,Surname,Order ID,Sales
247,Kevina,Teresse,1087,699.192
562,Harry,"O'Malley",1088,91.056
345,Kristofor,Sprigin,1089,3.928
394,Russell,Poore,1090,21.376
439,Kelsey,Fardo,1092,697.074
459,Carmen,Hedan,1093,129.44
564,Jourdan,Swyre,1094,508.62
181,Thurstan,Wellfare,1095,18.75
262,Cara,Dye,1096,321.552
722,Alika,Cavil,1098,605.47
284,Al,Bannard,1099,788.86
195,Gus,Dwyer,1100,166.44
223,Chloette,Riglar,1102,100.704
526,Bonny,Bortolutti,1103,13.36
774,Shalom,Harraway,1104,296.712
58,Brockie,Holdworth,1105,269.36
63,Bartlett,Seamark,1106,8.016
103,Jessika,Pargeter,1107,59.92
683,Fabian,Maddin,1108,69.99
176,Rosa,Lars,1109,542.34
494,Zacharia,Preist,1110,803.96
415,Emalia,Curnok,1111,1.869
283,Koren,Plenderleith,1112,34.44
765,Tanitansy,Di Claudio,1113,1252.602
619,Deena,Frossell,1114,48.94
351,Caye,Larmett,1115,29.24
206,Willow,Peeters,1116,865.5
260,Klara,Liversidge,1117,120.712
36,Lizabeth,Marcq,1118,408.768
338,Dame,Wilcock,1119,40.08
63,Bartlett,Seamark,1120,199.99
432,Norry,Seymark,1121,1044.44
456,Wynn,Schall,1122,233.244
308,Ema,MacGoun,1123,4251.92
19,Fowler,Mattholie,1124,99.98
254,Gus,Pidgen,1125,5.312
7,Vernon,Tomaskov,1126,1107.66
780,Angus,Bulger,1127,331.536
307,Bentley,Coils,1129,1769.784
226,Eugine,Vaulkhard,1130,242.546
416,Zeke,Phinnessy,1131,31.4
260,Klara,Liversidge,1132,149.95
109,Lorilee,Howey,1133,779.796
310,Patten,Brocking,1134,12.96
164,Giles,Quigley,1136,1488.774
131,Saul,Tofanelli,1137,10.896
387,Babara,Kedge,1138,62.28
547,Collie,Riolfo,1139,1007.944
18,Gabriello,Lydon,1140,63.924
506,Armstrong,Bantock,1141,11.364
230,Berky,Deane,1142,16.448
269,Vinny,Siggs,1143,21.19
593,Portie,Witherington,1144,225.016
96,Hillard,Fowles,1145,260.79
491,Jamison,Bywaters,1146,590.762
391,Dell,Pietraszek,1147,176.14
191,Matthias,Vidineev,1148,457.568
466,Arielle,Thrower,1149,616.14
199,Sibley,Slocom,1150,65.97
149,Cristian,Glendenning,1151,133.128
164,Giles,Quigley,1152,1143.822
708,Jamal,Castagnaro,1153,609.614
733,Noland,Sharland,1154,60.416
115,Valeda,Keasley,1155,31.84
511,Odie,Stennes,1156,17.248
151,Mord,Fossitt,1158,34.68
730,Gawain,Chesshyre,1159,469.043
597,Aluino,Petters,1160,18.9
207,Rowland,Ferrari,1161,460.092
45,Shellysheldon,Newberry,1162,143.128
263,Goddart,Carman,1163,6.928
785,Kent,Yuryev,1164,87.158
265,Kessia,Kellegher,1165,626.352
366,Armand,Beevis,1166,70.368
598,Lauraine,Laden,1167,665.88
550,Elita,Paolillo,1168,1661.028
397,Bronnie,Earland,1169,12.78
575,Lauretta,Revelle,1170,268.935
150,Nollie,Chapelle,1171,15.39
107,Caprice,Shoobridge,1172,1280.992
574,Haley,Dimmne,1174,264.32
626,Sidnee,Canby,1175,8.288
659,Horatio,Boost,1176,1261.33
