id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Godfry,Server,MANH,Technology,NASDAQ,"Manhattan Associates, Inc.",$3.27B,$20026.38
2,Feliza,Degli Antoni,EBTC,Finance,NASDAQ,Enterprise Bancorp Inc,$414.73M,$51187.25
3,Kathryne,Juza,ATLC,Finance,NASDAQ,Atlanticus Holdings Corporation,$35.52M,$78066.43
4,Jessa,Kwiek,INN^C,n/a,NYSE,"Summit Hotel Properties, Inc.",n/a,$91989.49
5,Reggie,Guillon,SSW,Transportation,NYSE,Seaspan Corporation,$649.92M,$53999.77
6,Regen,Worpole,SLVO,Finance,NASDAQ,X-Links Silver Shares Covered Call ETN,$7.07M,$41253.83
7,Justen,Eliyahu,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,$108.87B,$46371.32
8,Cord,Jowitt,GSHTW,Finance,NASDAQ,"Gores Holdings II, Inc.",n/a,$71979.11
9,Flint,Butter,AGO^F,n/a,NYSE,Assured Guaranty Ltd.,n/a,$70455.19
10,Gianina,McIsaac,WEBK,Finance,NASDAQ,"Wellesley Bancorp, Inc.",$65.48M,$4969.85
11,Shea,Banville,SCI,Consumer Services,NYSE,Service Corporation International,$6.05B,$48562.55
12,Starlin,Hendrickson,UFS,Basic Industries,NYSE,Domtar Corporation,$2.4B,$33476.58
13,Barbi,Knok,LPSN,Technology,NASDAQ,"LivePerson, Inc.",$663.34M,$12730.70
14,Diena,Bulgen,MIII,Finance,NASDAQ,M III Acquisition Corp.,$187.3M,$3419.15
15,Persis,Valde,TYG,n/a,NYSE,Tortoise Energy Infrastructure Corporation,$1.41B,$37918.13
16,Syd,Martello,EVN,n/a,NYSE,Eaton Vance Municipal Income Trust,$308.22M,$56111.53
17,Giffy,Coggon,GJP,n/a,NYSE,"Synthetic Fixed-Income Securities, Inc.",n/a,$76921.63
18,Alberik,Anfusso,CNOB,Finance,NASDAQ,"ConnectOne Bancorp, Inc.",$744.13M,$9352.71
19,Alyssa,Pirazzi,NBTB,Finance,NASDAQ,NBT Bancorp Inc.,$1.64B,$41797.72
20,Donovan,Majury,CFFN,Finance,NASDAQ,"Capitol Federal Financial, Inc.",$1.97B,$39877.05
21,Piotr,Melmar,VCRA,Consumer Durables,NYSE,"Vocera Communications, Inc.",$763.42M,$48182.78
22,Ferdy,Schild,SBNYW,Finance,NASDAQ,Signature Bank,n/a,$13630.70
23,Sheree,Nuscha,TAP,Consumer Non-Durables,NYSE,Molson Coors Brewing  Company,$14.14B,$8517.25
24,Justino,Karpeev,HTGM,Capital Goods,NASDAQ,"HTG Molecular Diagnostics, Inc.",$26.86M,$66055.29
25,Jenn,Niesegen,ANIP,Health Care,NASDAQ,"ANI Pharmaceuticals, Inc.",$527.44M,$19067.88
26,Jaquenetta,Marchant,HCAPL,n/a,NASDAQ,Harvest Capital Credit Corporation,n/a,$30261.09
27,Olympie,Albery,RDUS,Health Care,NASDAQ,"Radius Health, Inc.",$1.77B,$9740.05
28,Hughie,Tattersill,DE,Capital Goods,NYSE,Deere & Company,$40.91B,$5194.73
29,Svend,Feedham,HSII,Technology,NASDAQ,"Heidrick & Struggles International, Inc.",$407.51M,$57888.39
