id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Vikki,Pascall,RIC,Basic Industries,NYSE,"Richmont Mines, Inc.",$458.83M,$78924.65
2,Beulah,Michallat,ELY,Consumer Non-Durables,NYSE,Callaway Golf Company,$1.14B,$89818.72
3,Mignon,Blenkinsop,CPTAG,n/a,NASDAQ,Capitala Finance Corp.,n/a,$53160.64
4,Willis,Bugg,OAS,Energy,NYSE,Oasis Petroleum Inc.,$1.94B,$23636.92
5,Balduin,Maffei,QQXT,n/a,NASDAQ,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,$101.07M,$65979.23
6,Octavia,Rawll,IMKTA,Consumer Services,NASDAQ,"Ingles Markets, Incorporated",$687.82M,$41824.21
7,Sissy,Leakner,WDC,Technology,NASDAQ,Western Digital Corporation,$25.37B,$91259.95
8,Ancell,Millwall,PSDV,Capital Goods,NASDAQ,pSivida Corp.,$72.81M,$23359.60
9,Laurence,Bruna,NXST,Consumer Services,NASDAQ,"Nexstar Media Group, Inc.",$2.9B,$64509.73
10,Chico,Eveque,JPM^H,Finance,NYSE,J P Morgan Chase & Co,n/a,$8293.07
11,Marice,Mitchely,NVCR,Health Care,NASDAQ,NovoCure Limited,$1.3B,$28857.02
12,John,MacCrackan,SIX,Consumer Services,NYSE,Six Flags Entertainment Corporation New,$5.29B,$75779.30
13,Alla,Biasio,TRPX,Health Care,NASDAQ,Therapix Biosciences Ltd.,$21.62M,$8194.04
14,Ciel,Lorden,BOFIL,Finance,NASDAQ,"BofI Holding, Inc.",n/a,$40594.14
15,Barnabas,Crichton,BK,Finance,NYSE,Bank Of New York Mellon Corporation (The),$51.88B,$53153.47
16,Hansiain,Reimer,SPPI,Health Care,NASDAQ,"Spectrum Pharmaceuticals, Inc.",$522.68M,$83242.45
17,Lucille,Harries,PBBI,Finance,NASDAQ,"PB Bancorp, Inc.",$81.84M,$29771.04
18,Maximilien,Deener,UMH^B,n/a,NYSE,"UMH Properties, Inc.",n/a,$52159.83
19,Cherrita,MacFarlan,JTD,n/a,NYSE,Nuveen Tax-Advantaged Dividend Growth Fund,$231.89M,$44827.34
20,Betta,Curnnok,HGV,Consumer Services,NYSE,Hilton Grand Vacations Inc.,$3.62B,$49006.88
21,Padget,Mangam,NTEST,n/a,NYSE,NASDAQ TEST STOCK,n/a,$26508.53
22,Marcille,Campbell,MRNS,Health Care,NASDAQ,"Marinus Pharmaceuticals, Inc.",$29.15M,$61976.96
23,Cornell,Torres,HCM,Health Care,NASDAQ,Hutchison China MediTech Limited,$2.78B,$10345.16
24,Niccolo,Heck,CTR,n/a,NYSE,ClearBridge Energy MLP Total Return Fund Inc.,$483.46M,$6529.77
25,Horatius,Tuckwell,ZTO,Transportation,NYSE,ZTO Express (Cayman) Inc.,$10.32B,$57901.49
26,Ivonne,Greeno,SCSS,Consumer Durables,NASDAQ,Select Comfort Corporation,$1.32B,$6930.73
