id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Lamar,Ascraft,DLX,Consumer Durables,NYSE,Deluxe Corporation,$3.46B,$8446.64
2,Marlyn,Sparshett,SHG,Finance,NYSE,Shinhan Financial Group Co Ltd,$21.39B,$61127.85
3,Corene,Clother,USB,Finance,NYSE,U.S. Bancorp,$88.09B,$73511.98
4,Catriona,Kirlin,MT,Basic Industries,NYSE,ArcelorMittal,$20.56B,$83949.26
5,Cynthy,Cornuau,HRL,Consumer Non-Durables,NYSE,Hormel Foods Corporation,$17.94B,$99994.59
6,Myriam,Gamon,NRT,Energy,NYSE,North European Oil Royality Trust,$61.21M,$67664.83
7,Kelsi,Umpleby,OTTR,Public Utilities,NASDAQ,Otter Tail Corporation,$1.64B,$41083.20
8,Ibby,Martschke,SKYS,Public Utilities,NASDAQ,"Sky Solar Holdings, Ltd.",$72.37M,$92104.57
9,Peadar,Cansdale,PRU,Finance,NYSE,"Prudential Financial, Inc.",$46.21B,$2569.46
10,Taylor,Dobbie,ADC,Consumer Services,NYSE,Agree Realty Corporation,$1.26B,$55507.71
11,Christiano,Eccleston,FTHI,n/a,NASDAQ,First Trust High Income ETF,$48.31M,$20483.92
12,Vinita,Plaister,HBNC,Finance,NASDAQ,Horizon Bancorp (IN),$580.2M,$45613.40
13,Mathilda,Margrem,SRG,Finance,NYSE,Seritage Growth Properties,$2.34B,$75566.75
14,Hurley,Ingold,EVT,n/a,NYSE,Eaton Vance Tax Advantaged Dividend Income Fund,$1.6B,$95290.74
15,Maighdiln,Chedgey,TDC,Technology,NYSE,Teradata Corporation,$3.66B,$49255.48
16,Noemi,Iltchev,MPVD,Basic Industries,NASDAQ,Mountain Province Diamonds Inc.,$472.51M,$51477.53
17,Kerry,Simeone,HPF,n/a,NYSE,John Hancock Pfd Income Fund II,$465.13M,$31245.99
18,Adrianna,Manus,LQDT,Miscellaneous,NASDAQ,"Liquidity Services, Inc.",$201.51M,$13233.20
19,Michal,Zannini,LTRX,Technology,NASDAQ,"Lantronix, Inc.",$40.45M,$88767.62
20,Jermaine,Varndall,IFGL,n/a,NASDAQ,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,$532.8M,$39117.18
21,Coop,Jaggard,PTGX,Health Care,NASDAQ,"Protagonist Therapeutics, Inc.",$177.84M,$30555.68
22,Kennith,Chotty,SYT,Basic Industries,NYSE,Syngenta AG,$42.5B,$17440.82
23,Alma,Maskrey,NWE,Public Utilities,NYSE,NorthWestern Corporation,$3.09B,$77304.61
24,Vally,Johansen,BLKB,Technology,NASDAQ,"Blackbaud, Inc.",$4.16B,$85337.44
25,Aharon,Trowl,AGND,n/a,NASDAQ,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,$12.99M,$62584.31
26,Austina,Choppin,BVN,Basic Industries,NYSE,Buenaventura Mining Company Inc.,$2.85B,$16875.69
27,Paige,Hickeringill,ARI^C,n/a,NYSE,Apollo Commercial Real Estate Finance,n/a,$37471.58
28,Kristien,Malcolmson,ESV,Energy,NYSE,ENSCO plc,$1.74B,$26874.90
29,Orbadiah,Divall,IFF,Basic Industries,NYSE,"Internationa Flavors & Fragrances, Inc.",$10.63B,$41825.32
