id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Hadley,Willets,AFMD,Health Care,NASDAQ,Affimed N.V.,$87.88M,$99959.38
2,Cassi,Watson,SYMC,Technology,NASDAQ,Symantec Corporation,$17.3B,$12069.06
3,Saundra,Koppen,BCOR,Technology,NASDAQ,"Blucora, Inc.",$909.02M,$85281.32
4,Crista,Carr,GMS,Consumer Services,NYSE,GMS Inc.,$1.31B,$59157.56
5,Kenton,Glackin,ETH,Consumer Durables,NYSE,Ethan Allen Interiors Inc.,$822.58M,$10163.50
6,Francklin,Bille,HHC,Consumer Services,NYSE,Howard Hughes Corporation (The),$5.06B,$41466.31
7,Clemmie,Shackleton,WYIGU,Finance,NASDAQ,JM Global Holding Company,$67.86M,$69783.48
8,Perri,Probbin,BBRG,Consumer Services,NASDAQ,"Bravo Brio Restaurant Group, Inc.",$69.74M,$20156.41
9,Ansell,Sherrell,EGIF,n/a,NYSE,Eagle Growth and Income Opportunities Fund,$123.2M,$971.92
10,Raimondo,Skewis,UMH,Consumer Services,NYSE,"UMH Properties, Inc.",$575.54M,$31829.07
11,Andrea,Barthrop,OPK,Health Care,NASDAQ,"Opko Health, Inc.",$3.65B,$26307.93
12,Anya,Corderoy,ATHN,Miscellaneous,NASDAQ,"athenahealth, Inc.",$5.79B,$76464.74
13,Cammie,Gaber,FOSL,Consumer Non-Durables,NASDAQ,"Fossil Group, Inc.",$445.87M,$20091.57
14,Zelda,Gorch,PSA^Y,n/a,NYSE,Public Storage,n/a,$87875.46
15,Yevette,Willingham,XCO,Energy,NYSE,EXCO Resources NL,$79.36M,$41440.84
16,Lexine,Neilson,MTX,Basic Industries,NYSE,Minerals Technologies Inc.,$2.5B,$81998.79
17,Shena,Balog,GLBZ,Finance,NASDAQ,Glen Burnie Bancorp,$30.69M,$83162.55
18,Ralf,Coughlin,CWBC,Finance,NASDAQ,Community West Bancshares,$81.44M,$30542.51
19,Jemie,Duligall,CSQ,n/a,NASDAQ,Calamos Strategic Total Return Fund,$1.83B,$72784.33
20,Flss,Blackborn,AVNW,Technology,NASDAQ,"Aviat Networks, Inc.",$93.71M,$36849.42
21,Alvis,Van Salzberger,IBUY,n/a,NASDAQ,Amplify Online Retail ETF,n/a,$14735.30
22,Dione,Duggan,TPVZ,n/a,NYSE,TriplePoint Venture Growth BDC Corp.,n/a,$88370.96
23,Kerry,Rown,OPHT,Health Care,NASDAQ,Ophthotech Corporation,$93.93M,$96016.86
24,Cassy,Rudeforth,ENZ,Health Care,NYSE,"Enzo Biochem, Inc.",$487.74M,$87530.62
25,Joyce,Silversmid,TLGT,Health Care,NASDAQ,"Teligent, Inc.",$459.34M,$16825.39
26,Elfreda,Hayden,ACST,Health Care,NASDAQ,"Acasti Pharma, Inc.",$18.98M,$4914.47
27,Falkner,Sanson,OTTW,Finance,NASDAQ,"Ottawa Bancorp, Inc.",$48.54M,$9168.92
28,Sherri,Bakeup,DSPG,Technology,NASDAQ,"DSP Group, Inc.",$258.27M,$15301.38
29,Quillan,Shambroke,HCA,Health Care,NYSE,"HCA Healthcare, Inc.",$30.6B,$27140.09
30,See,Boddice,PERF,Consumer Services,NASDAQ,"Perfumania Holdings, Inc",$22.51M,$10905.04
31,Tedman,Hallows,HTZ,Consumer Services,NYSE,"Hertz Global Holdings, Inc",$782.71M,$87010.62
32,Sadye,Coppard,ETO,n/a,NYSE,Eaton Vance Tax-Advantage Global Dividend Opp,$352.51M,$58788.69
33,Grace,Yakovitch,AMBR,Technology,NYSE,"Amber Road, Inc.",$217.53M,$17930.51
34,Filberto,Kunzler,STAG,Consumer Services,NYSE,"Stag Industrial, Inc.",$2.47B,$38013.75
35,Dido,Hould,KBLMU,Finance,NASDAQ,KBL Merger Corp. IV,n/a,$21714.23
36,Dorey,Querree,NEE^I,n/a,NYSE,"NextEra Energy, Inc.",n/a,$61757.27
37,Husain,Mussilli,BCO,Transportation,NYSE,Brink's Company (The),$3.32B,$18709.69
38,Christos,Furley,HCLP,Basic Industries,NYSE,Hi-Crush Partners LP,$955.69M,$62106.68
39,Maddalena,Haysar,PTR,Energy,NYSE,PetroChina Company Limited,$116.38B,$40852.83
40,Andrej,Gonzalvo,ONSIZ,Health Care,NASDAQ,"Oncobiologics, Inc.",n/a,$55976.24
41,Torry,Barringer,WNC,Capital Goods,NYSE,Wabash National Corporation,$1.26B,$5188.46
42,Julina,Halpeine,HVT.A,n/a,NYSE,"Haverty Furniture Companies, Inc.",n/a,$63919.52
43,Marcello,Chaffe,BRO,Finance,NYSE,"Brown & Brown, Inc.",$6.22B,$6072.39
44,Gerrie,MacNab,LLY,Health Care,NYSE,Eli Lilly and Company,$90.35B,$64135.12
45,Izaak,Kausche,TPL,Energy,NYSE,Texas Pacific Land Trust,$2.41B,$96600.88
46,Claribel,Delouch,PXS,Transportation,NASDAQ,Pyxis Tankers Inc.,$26.87M,$60307.82
47,Esme,Colliver,AMSWA,Technology,NASDAQ,"American Software, Inc.",$326.53M,$46769.01
48,Caterina,Woodfine,THLD,Health Care,NASDAQ,"Threshold Pharmaceuticals, Inc.",$27.59M,$52620.39
49,Sydel,Gomer,ING,Finance,NYSE,"ING Group, N.V.",$65.86B,$81370.43
50,Leisha,Valentinuzzi,ADBE,Technology,NASDAQ,Adobe Systems Incorporated,$68.19B,$33779.29
