id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Isa,Kinsley,UHS,Health Care,NYSE,"Universal Health Services, Inc.",$11.13B,$30593.11
2,Udale,Pentony,KTP,Finance,NYSE,Lehman ABS Corporation,n/a,$49111.63
3,Emeline,Paulitschke,ANH^B,n/a,NYSE,Anworth Mortgage Asset  Corporation,n/a,$99630.72
4,Cesar,Heugle,EAE,Public Utilities,NYSE,"Entergy Arkansas, Inc.",n/a,$21327.40
5,Claudius,Heinel,MFSF,Finance,NASDAQ,MutualFirst Financial Inc.,$256.68M,$29775.40
6,Jae,Van,RFP,Basic Industries,NYSE,Resolute Forest Products Inc.,$413.36M,$20056.77
7,Edik,Tolomelli,RNWK,Technology,NASDAQ,"RealNetworks, Inc.",$165.47M,$79775.33
8,Vikky,Canton,LMIA,Capital Goods,NASDAQ,"LMI Aerospace, Inc.",$191.03M,$86168.41
9,Eddi,Glassard,MVC,n/a,NYSE,"MVC Capital, Inc.",$219.02M,$44128.31
10,Jules,Brose,RPT,Consumer Services,NYSE,Ramco-Gershenson Properties Trust,$1.01B,$71077.08
11,Steward,Paradine,WCG,Health Care,NYSE,"WellCare Health Plans, Inc.",$7.77B,$11835.15
12,Ashla,Kerwood,HI,Consumer Durables,NYSE,Hillenbrand Inc,$2.31B,$98467.47
13,Penrod,Gorini,SGRP,Miscellaneous,NASDAQ,"SPAR Group, Inc.",$21.07M,$72386.78
14,Corinna,Leathart,HII,Capital Goods,NYSE,"Huntington Ingalls Industries, Inc.",$8.56B,$90017.40
15,Mack,Leatherbarrow,WOW,Consumer Services,NYSE,"WideOpenWest, Inc.",$1.49B,$2378.14
16,Myranda,Marshallsay,REX,Basic Industries,NYSE,REX American Resources Corporation,$631.93M,$58897.38
17,Angela,Dudderidge,WSBF,Finance,NASDAQ,"Waterstone Financial, Inc.",$568.57M,$92806.84
18,Hall,Blaxill,GJP,n/a,NYSE,"Synthetic Fixed-Income Securities, Inc.",n/a,$31411.19
19,Grady,Langford,FUL,Basic Industries,NYSE,H. B. Fuller Company,$2.64B,$36853.21
20,Sula,Killigrew,TSM,Technology,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,$186.02B,$18267.63
21,Angelita,Serot,GUT^C,n/a,NYSE,Gabelli Utility Trust (The),n/a,$54818.59
22,Godfrey,Potten,MCHP,Technology,NASDAQ,Microchip Technology Incorporated,$18.63B,$80514.55
23,Jodi,Gilvary,MACQ,Finance,NASDAQ,"M I Acquisitions, Inc.",$71.22M,$11113.82
24,Charmion,Sperwell,WCFB,Finance,NASDAQ,"WCF Bancorp, Inc.",$26.13M,$65398.36
25,Henka,Hazell,TWO^A,n/a,NYSE,Two Harbors Investments Corp,n/a,$76624.10
26,Antonio,Knoller,ROBO,n/a,NASDAQ,ROBO Global Robotics and Automation Index ETF,$158.98M,$56426.47
27,Marjy,Czapla,LANC,Consumer Non-Durables,NASDAQ,Lancaster Colony Corporation,$3.43B,$659.47
28,Thelma,Gayne,RRGB,Consumer Services,NASDAQ,"Red Robin Gourmet Burgers, Inc.",$828.17M,$14133.03
29,Olenolin,Truesdale,NP,Basic Industries,NYSE,"Neenah Paper, Inc.",$1.35B,$1009.83
30,Cissiee,Wethey,BYM,n/a,NYSE,Blackrock Municipal Income Quality Trust,$379.99M,$13480.38
31,Tobias,Greenall,SRUN,Finance,NASDAQ,Silver Run Acquisition Corporation II,$1.29B,$53370.06
32,Filippo,Geeraert,PRPH,Health Care,NASDAQ,"ProPhase Labs, Inc.",$32.94M,$33952.12
33,Lock,Leate,AGX,Basic Industries,NYSE,"Argan, Inc.",$947.48M,$94606.15
34,Jobina,Speare,FGBI,Finance,NASDAQ,"First Guaranty Bancshares, Inc.",$203.62M,$42634.27
35,Stevie,Greep,FNSR,Technology,NASDAQ,Finisar Corporation,$3.1B,$28197.76
36,Sallyanne,Briztman,BSMX,Finance,NYSE,Grupo Financiero Santander Mexico S.A. B. de C.V.,$13.14B,$21631.43
37,Carny,Lark,AMH^C,n/a,NYSE,American Homes 4 Rent,n/a,$73856.62
38,Livvy,Bodycote,ADHD,Health Care,NASDAQ,Alcobra Ltd.,$30.87M,$53974.78
39,Tabbi,Midden,GPM,n/a,NYSE,Guggenheim Enhanced Equity Income Fund,$392.46M,$49627.77
40,Agneta,Corringham,JPM^F,n/a,NYSE,J P Morgan Chase & Co,n/a,$90922.57
41,Dari,Brito,XEL,Public Utilities,NYSE,Xcel Energy Inc.,$24.27B,$83036.79
42,Skyler,St. Clair,ACTX,n/a,NASDAQ,Global X Guru Activist ETF,n/a,$70476.28
43,Rosita,MacMenemy,MELI,Miscellaneous,NASDAQ,"MercadoLibre, Inc.",$11.63B,$54575.17
44,Dalis,Robertshaw,OASM,Health Care,NASDAQ,Oasmia Pharmaceutical AB,$38.24M,$67039.85
