id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Elfie,Eyton,LYB,Basic Industries,NYSE,LyondellBasell Industries NV,$32.58B,$6602.67
2,Jeannine,Simoneschi,DLBL,Finance,NASDAQ,iPath US Treasury Long Bond Bull ETN,$5.4M,$40844.29
3,Alan,Antonioni,GMTA,Consumer Services,NYSE,GATX Corporation,n/a,$6800.48
4,Rogerio,Cran,CTHR,Consumer Durables,NASDAQ,Charles & Colvard Ltd,$19.68M,$97881.35
5,Ollie,Woodhouse,CXH,n/a,NYSE,Colonial Investment Grade Municipal Trust,$116.91M,$13516.32
6,Bettye,Popham,CLRB,Health Care,NASDAQ,"Cellectar Biosciences, Inc.",$21.4M,$21473.23
7,Berte,Burriss,EEFT,Finance,NASDAQ,"Euronet Worldwide, Inc.",$4.59B,$42399.63
8,Rustie,MacKall,INO,Health Care,NASDAQ,"Inovio Pharmaceuticals, Inc.",$585.08M,$35131.71
9,Claudelle,Ossulton,TARO,Health Care,NYSE,Taro Pharmaceutical Industries Ltd.,$4.57B,$53237.61
10,Hobard,Ferenczy,APPN,Technology,NASDAQ,Appian Corporation,$1.07B,$10192.96
11,Winifield,Rebert,XIV,Finance,NASDAQ,VelocityShares Daily Inverse VIX Short-Term ETN,$850.59M,$83799.57
12,Sasha,Kunes,PUB,Finance,NASDAQ,People's Utah Bancorp,$474.2M,$19481.89
13,Kennan,McGeraghty,CETV,Consumer Services,NASDAQ,Central European Media Enterprises Ltd.,$613.79M,$66715.37
14,Correy,Dishman,IRBT,Consumer Durables,NASDAQ,iRobot Corporation,$2.64B,$25708.48
15,Shaylyn,Bonnin,JPI,n/a,NYSE,Nuveen Preferred and Income Term Fund,$560.06M,$12323.82
16,Jewelle,Loudiane,STT,Finance,NYSE,State Street Corporation,$33.2B,$45162.74
17,Yule,Hindmore,EUFN,n/a,NASDAQ,iShares MSCI Europe Financials Sector Index Fund,$1.15B,$24556.43
18,Arch,Van Niekerk,CFCOU,Finance,NASDAQ,CF Corporation,n/a,$4501.43
19,Demetrius,Wootton,LIVE,Technology,NASDAQ,Live Ventures Incorporated,$19.84M,$95490.95
20,Marthena,Flagg,BZH,Capital Goods,NYSE,"Beazer Homes USA, Inc.",$428.38M,$87530.33
21,Pamella,Tombling,NSEC,Finance,NASDAQ,"National Security Group, Inc.",$37M,$70196.04
22,Kellyann,Bitten,USNA,Consumer Durables,NYSE,"USANA Health Sciences, Inc.",$1.6B,$64749.32
23,Sela,Nansom,PBI^B,n/a,NYSE,Pitney Bowes Inc.,n/a,$78091.07
24,Noell,Jermin,YNDX,Technology,NASDAQ,Yandex N.V.,$8.28B,$56146.75
25,Natty,Birtley,MTOR,Capital Goods,NYSE,"Meritor, Inc.",$1.41B,$87969.22
26,Kaye,Alfonsini,MS^A,n/a,NYSE,Morgan Stanley,n/a,$76608.10
27,Gabriela,Whardley,SRCLP,Basic Industries,NASDAQ,"Stericycle, Inc.",n/a,$90176.53
28,Avril,Wingrove,AHH,Finance,NYSE,"Armada Hoffler Properties, Inc.",$643.63M,$22445.10
29,Etta,Myrie,PSCE,n/a,NASDAQ,PowerShares S&P SmallCap Energy Portfolio,$34.07M,$5985.50
30,Catherin,Krollman,SUPN,Health Care,NASDAQ,"Supernus Pharmaceuticals, Inc.",$1.94B,$68052.17
31,Janet,Ruf,BXMX,n/a,NYSE,Nuveen S&P 500 Buy-Write Income Fund,$1.45B,$91960.30
32,Veda,Hounsome,IBUY,n/a,NASDAQ,Amplify Online Retail ETF,n/a,$52259.31
33,Carmita,Macro,CIBR,n/a,NASDAQ,First Trust NASDAQ Cybersecurity ETF,$255.47M,$20268.97
34,Ignaz,Wisbey,REVG,Capital Goods,NYSE,"REV Group, Inc.",$1.92B,$86276.71
35,Peria,Rouse,KED,n/a,NYSE,Kayne Anderson Energy Development Company,$184.66M,$63196.47
36,Gavan,Otridge,ACTA,Technology,NASDAQ,Actua Corporation,$468.65M,$35897.44
37,Tracie,Castellone,EQM,Public Utilities,NYSE,"EQT Midstream Partners, LP",$5.64B,$79811.02
38,Kele,Hambly,RP,Technology,NASDAQ,"RealPage, Inc.",$2.92B,$21415.04
39,Lorita,Neubigging,NK,Health Care,NASDAQ,"NantKwest, Inc.",$532.37M,$41784.35
40,Germain,Watkins,HCM,Health Care,NASDAQ,Hutchison China MediTech Limited,$2.78B,$65125.09
41,Karalee,Nardoni,AI^B,n/a,NYSE,Arlington Asset Investment Corp,n/a,$39172.86
42,Wayne,Barnbrook,USFD,Consumer Non-Durables,NYSE,US Foods Holding Corp.,$6.33B,$8797.25
43,Eugen,Linfield,WIN,Public Utilities,NASDAQ,"Windstream Holdings, Inc.",$864.84M,$33539.55
44,Carmine,Tew,SABR,Technology,NASDAQ,Sabre Corporation,$6.27B,$1314.57
45,Lind,Bunston,SVRA,Health Care,NASDAQ,"Savara, Inc.",$145.12M,$91176.30
46,Cristionna,Bruinemann,SHLDW,Consumer Services,NASDAQ,Sears Holdings Corporation,n/a,$7741.62
47,Bartlett,O'Fihily,TER,Capital Goods,NYSE,"Teradyne, Inc.",$6.47B,$14965.11
48,Micky,Macewan,BGR,n/a,NYSE,BlackRock Energy and Resources Trust,$389.82M,$70428.64
49,Banky,Arlett,PHO,n/a,NASDAQ,PowerShares Water Resources Portfolio,$814.18M,$48470.26
50,Khalil,Bendik,CZNC,Finance,NASDAQ,Citizens & Northern Corp,$287.82M,$95829.78
51,Whitby,Gorst,FLAG,n/a,NASDAQ,WeatherStorm Forensic Accounting Long Short ETF,$15.38M,$83437.43
52,Christos,Reckhouse,MARA,Miscellaneous,NASDAQ,"Marathon Patent Group, Inc.",$3.78M,$21265.48
53,Lynde,Murthwaite,AMAG,Health Care,NASDAQ,"AMAG Pharmaceuticals, Inc.",$574.74M,$43220.20
54,Kare,Stagge,XRAY,Health Care,NASDAQ,DENTSPLY SIRONA Inc.,$14.6B,$79069.77
55,Rusty,LeEstut,PY,n/a,NASDAQ,Principal Shareholder Yield Index ETF,$7.21M,$9491.08
56,Garwood,Mallen,ACN,Miscellaneous,NYSE,Accenture plc,$81.78B,$42539.62
