id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Gay,Howgate,LUB,Consumer Services,NYSE,"Luby's, Inc.",$88.73M,$44389.17
2,Shara,Kember,NRT,Energy,NYSE,North European Oil Royality Trust,$61.21M,$60710.96
3,Fawn,Hayers,RUBI,Technology,NYSE,"The Rubicon Project, Inc.",$275.01M,$10714.77
4,Colette,Ricciardelli,PHMD,Health Care,NASDAQ,"PhotoMedex, Inc.",$6.29M,$17801.56
5,Collete,Kettlesing,EVAR,Health Care,NASDAQ,"Lombard Medical, Inc.",$13.04M,$29170.58
6,Caralie,Peggram,K,Consumer Non-Durables,NYSE,Kellogg Company,$25.18B,$78228.64
7,Tessi,Woodyeare,ODFL,Transportation,NASDAQ,"Old Dominion Freight Line, Inc.",$7.81B,$44713.60
8,Casie,Bickerstasse,DWTR,n/a,NASDAQ,PowerShares DWA Tactical Sector Rotation Portfolio,$86.02M,$17576.09
9,Salvatore,Jentin,EAGLW,Finance,NASDAQ,Double Eagle Acquisition Corp.,n/a,$75096.14
10,Estevan,Kubelka,SWNC,Energy,NYSE,Southwestern Energy Company,n/a,$24132.80
11,Blakelee,Owthwaite,FCPT,Consumer Services,NYSE,"Four Corners Property Trust, Inc.",$1.53B,$19300.13
12,Lazarus,Massimo,RRD,Miscellaneous,NASDAQ,R.R. Donnelley & Sons Company,$864.5M,$87895.05
13,Mahmud,MacMickan,OIIM,Technology,NASDAQ,O2Micro International Limited,$47.92M,$38190.78
14,Correy,Dionisetti,MS,Finance,NYSE,Morgan Stanley,$82.28B,$21031.91
15,Madonna,Hovey,JHA,n/a,NYSE,Nuveen High Income 2020 Target Term Fund,$296.92M,$19919.74
16,Sibby,Kemm,ASV,Capital Goods,NASDAQ,"ASV Holdings, Inc.",$79.18M,$65141.33
17,Rodi,Ramel,CTL,Public Utilities,NYSE,"CenturyLink, Inc.",$14.12B,$90298.33
18,Steffane,Giacopello,MRK,Health Care,NYSE,"Merck & Company, Inc.",$172.23B,$85268.38
19,Bary,Brickstock,FFA,n/a,NYSE,First Trust,$299.6M,$77454.96
20,Shepperd,Toone,ENJ,Public Utilities,NYSE,"Entergy New Orleans, Inc.",n/a,$1674.48
21,Bryon,Docker,STAF,Technology,NASDAQ,"Staffing 360 Solutions, Inc.",$10.91M,$54341.70
22,Yoshi,Yard,PIRS,Health Care,NASDAQ,"Pieris Pharmaceuticals, Inc.",$184.33M,$91652.16
23,Holly,Chapman,BIDU,Technology,NASDAQ,"Baidu, Inc.",$60.38B,$91595.27
24,Mendy,McChruiter,CMPR,Miscellaneous,NASDAQ,Cimpress N.V,$2.85B,$85620.98
25,Egor,Yeoland,XIN,Basic Industries,NYSE,Xinyuan Real Estate Co Ltd,$317.4M,$43945.85
26,Vail,Pitcaithly,REVG,Capital Goods,NYSE,"REV Group, Inc.",$1.92B,$1796.92
27,Georgeanne,Potes,ANTX,Health Care,NYSE,"Anthem, Inc.",$13.93B,$3148.09
28,Ulrich,Kingsman,BHP,Basic Industries,NYSE,BHP Billiton Limited,$92.34B,$28728.74
29,Sallyann,Bernli,NBEV,Consumer Non-Durables,NASDAQ,New Age Beverages Corporation,$195.98M,$87978.36
30,Starr,Crust,MLR,Capital Goods,NYSE,"Miller Industries, Inc.",$289.48M,$69156.78
31,Bessy,Antoniak,SLG,Consumer Services,NYSE,SL Green Realty Corporation,$10.76B,$30011.57
32,Austin,Hayter,ROSEU,Energy,NASDAQ,Rosehill Resources Inc.,n/a,$51682.26
33,Danni,Backs,OC,Capital Goods,NYSE,Owens Corning Inc,$7.18B,$18519.29
34,Tome,Mouncey,DHI,Capital Goods,NYSE,"D.R. Horton, Inc.",$12.64B,$52935.74
