id,first_name,last_name,Ticker,Sector,Market,Stock Name,Market Cap,Purchase Price
1,Sybyl,Huxley,TMUS,Public Utilities,NASDAQ,"T-Mobile US, Inc.",$52.45B,$38271.32
2,Perle,Scarfe,RELL,Consumer Non-Durables,NASDAQ,"Richardson Electronics, Ltd.",$75.94M,$1431.02
3,Montgomery,Paliser,RBS,Finance,NYSE,Royal Bank Scotland plc (The),$37.92B,$84657.21
4,Kirstyn,Falco,TEGP,Public Utilities,NYSE,"Tallgrass Energy GP, LP",$3.69B,$5030.66
5,Eustacia,Rea,WILC,Consumer Non-Durables,NASDAQ,"G. Willi-Food International,  Ltd.",$92.42M,$21845.51
6,Mace,Domke,GRA,Basic Industries,NYSE,W.R. Grace & Co.,$4.82B,$71201.43
7,Charmain,Villaron,FOGO,Consumer Services,NASDAQ,"Fogo de Chao, Inc.",$392.16M,$4438.29
8,Mallory,Bilbery,STL,Finance,NYSE,Sterling Bancorp,$3.18B,$61174.50
9,Malvina,Tindle,CPSS,Finance,NASDAQ,"Consumer Portfolio Services, Inc.",$101.59M,$81939.05
10,Leoine,Austick,HTLD,Transportation,NASDAQ,"Heartland Express, Inc.",$1.73B,$66936.42
11,Dudley,Andries,TLND,Technology,NASDAQ,Talend S.A.,$1.05B,$8097.44
12,Gilli,McLafferty,NKE,Consumer Non-Durables,NYSE,"Nike, Inc.",$84.35B,$36875.59
13,Sven,Crawcour,GENY,n/a,NASDAQ,Principal Millennials Index ETF,$7.26M,$2633.69
14,Robinia,Jaumet,SASR,Finance,NASDAQ,"Sandy Spring Bancorp, Inc.",$970.14M,$70071.61
15,Rosalinde,Foxwell,TRP,Public Utilities,NYSE,TransCanada Corporation,$41.81B,$47659.42
16,Donielle,Schieferstein,AFSI^D,n/a,NYSE,"AmTrust Financial Services, Inc.",n/a,$50232.14
17,Arnold,Lacoste,TCPC,n/a,NASDAQ,TCP Capital Corp.,$985.94M,$22283.93
18,Rosamond,Robatham,EROS,Consumer Services,NYSE,Eros International PLC,$642.98M,$96021.86
19,Beilul,Louis,MSM,Capital Goods,NYSE,"MSC Industrial Direct Company, Inc.",$4.86B,$97183.48
20,Nicolas,Verdy,OCUL,Health Care,NASDAQ,"Ocular Therapeutix, Inc.",$294.93M,$34979.23
21,Emelina,Veryard,CALX,Consumer Services,NYSE,"Calix, Inc",$359.11M,$69011.85
22,Felice,Hatton,PNC.WS,n/a,NYSE,"PNC Financial Services Group, Inc. (The)",n/a,$68591.59
23,Terrie,Dover,WEX,Miscellaneous,NYSE,WEX Inc.,$4.5B,$57028.36
24,Danya,Cockton,DAR,Consumer Non-Durables,NYSE,Darling Ingredients Inc.,$2.59B,$34691.99
25,Willie,Service,IMRN,Health Care,NASDAQ,Immuron Limited,$22.58M,$28944.05
26,Town,Winders,IPAR,Consumer Non-Durables,NASDAQ,"Inter Parfums, Inc.",$1.12B,$77252.41
27,Bartolomeo,Jukes,GOGL,Consumer Services,NASDAQ,Golden Ocean Group Limited,$715.78M,$54235.32
28,Revkah,Finkle,EQS,n/a,NYSE,"Equus Total Return, Inc.",$30.96M,$71862.04
29,Vitoria,Runnalls,BTE,Energy,NYSE,Baytex Energy Corp,$592.54M,$35399.98
30,Pierce,Dingley,TM,Capital Goods,NYSE,Toyota Motor Corp Ltd Ord,$156.02B,$87493.53
31,Con,Collingdon,ALQA,Health Care,NASDAQ,"Alliqua BioMedical, Inc.",$17.01M,$18063.74
32,Heida,Loughman,TNK,Consumer Services,NYSE,Teekay Tankers Ltd.,$311.8M,$60027.25
33,Cassy,Hitcham,CX,Capital Goods,NYSE,Cemex S.A.B. de C.V.,$4.5B,$20344.10
34,Edik,Gosling,AEL,Finance,NYSE,American Equity Investment Life Holding Company,$2.22B,$21105.57
35,Brear,Arnal,BBGI,Consumer Services,NASDAQ,"Beasley Broadcast Group, Inc.",$315.76M,$43674.19
