Bank,Online or In-Person,Transaction Date,Value
DS,In-Person,Friday,58599
DS,In-Person,Monday,42806
DS,In-Person,Saturday,34867
DS,In-Person,Sunday,51301
DS,In-Person,Thursday,75582
DS,In-Person,Tuesday,32607
DS,In-Person,Wednesday,63686
DS,Online,Friday,58731
DS,Online,Monday,33563
DS,Online,Saturday,71357
DS,Online,Sunday,21761
DS,Online,Thursday,13337
DS,Online,Tuesday,36639
DS,Online,Wednesday,59104
DSB,In-Person,Friday,9402
DSB,In-Person,Monday,43546
DSB,In-Person,Saturday,72679
DSB,In-Person,Sunday,37755
DSB,In-Person,Thursday,37567
DSB,In-Person,Tuesday,28604
DSB,In-Person,Wednesday,36069
DSB,Online,Friday,45647
DSB,Online,Monday,31692
DSB,Online,Saturday,61350
DSB,Online,Sunday,13086
DSB,Online,Thursday,33463
DSB,Online,Tuesday,32257
DSB,Online,Wednesday,47372
DTB,In-Person,Friday,41861
DTB,In-Person,Monday,21561
DTB,In-Person,Saturday,66334
DTB,In-Person,Sunday,29468
DTB,In-Person,Thursday,57605
DTB,In-Person,Tuesday,54029
DTB,In-Person,Wednesday,52819
DTB,Online,Friday,27366
DTB,Online,Monday,38688
DTB,Online,Saturday,21392
DTB,Online,Sunday,49087
DTB,Online,Thursday,53756
DTB,Online,Tuesday,68959
DTB,Online,Wednesday,35313
