Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,First Purchase,Order?,Customer Classification,YoY Difference
2230.0,CA-2018-128055,31/03/2018,05/04/2018,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,673.5680000000001,2.0,0.2,252.588,2018,2018,1,New,
2231.0,CA-2018-128055,31/03/2018,05/04/2018,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94122.0,West,OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,52.98,2.0,0.0,14.834400000000002,2018,2018,1,New,
7469.0,CA-2018-138100,15/09/2018,20/09/2018,Standard Class,AA-10315,Alex Avila,Consumer,United States,New York City,New York,10011.0,East,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,14.940000000000001,3.0,0.0,7.021800000000001,2018,2018,1,New,
7470.0,CA-2018-138100,15/09/2018,20/09/2018,Standard Class,AA-10315,Alex Avila,Consumer,United States,New York City,New York,10011.0,East,FUR-FU-10002456,Furniture,Furnishings,"Master Caster Door Stop, Large Neon Orange",14.56,2.0,0.0,6.2608000000000015,2018,2018,1,New,
1300.0,CA-2019-121391,04/10/2019,07/10/2019,First Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94109.0,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2.0,0.0,7.009599999999999,2019,2018,1,Consistent,-158
5199.0,CA-2020-103982,03/03/2020,08/03/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664.0,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3.0,0.2,-786.0144000000003,2020,2018,1,Consistent,48
5200.0,CA-2020-103982,03/03/2020,08/03/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664.0,Central,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",2.304,1.0,0.2,0.7776,2020,2018,1,Consistent,48
5201.0,CA-2020-103982,03/03/2020,08/03/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664.0,Central,TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,431.97600000000006,3.0,0.2,32.39820000000002,2020,2018,1,Consistent,48
5202.0,CA-2020-103982,03/03/2020,08/03/2020,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664.0,Central,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",41.720000000000006,7.0,0.2,5.736499999999998,2020,2018,1,Consistent,48
1160.0,CA-2021-147039,29/06/2021,04/07/2021,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",362.94,3.0,0.0,90.73500000000001,2021,2018,1,Consistent,32
1161.0,CA-2021-147039,29/06/2021,04/07/2021,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,11.54,2.0,0.0,5.77,2021,2018,1,Consistent,32
1173.0,CA-2018-158064,21/04/2018,25/04/2018,Standard Class,AA-10375,Allen Armold,Consumer,United States,Los Angeles,California,90008.0,West,OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,16.520000000000003,5.0,0.2,5.5755,2018,2018,1,New,
3008.0,CA-2018-130729,24/10/2018,29/10/2018,Standard Class,AA-10375,Allen Armold,Consumer,United States,Rancho Cucamonga,California,91730.0,West,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,34.272,3.0,0.2,11.138399999999999,2018,2018,1,New,
808.0,CA-2019-140921,03/02/2019,05/02/2019,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104.0,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,28.4,2.0,0.0,11.076,2019,2018,1,Consistent,-158
809.0,CA-2019-140921,03/02/2019,05/02/2019,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104.0,Central,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,149.97,3.0,0.0,50.9898,2019,2018,1,Consistent,-158
1979.0,CA-2019-109939,08/05/2019,12/05/2019,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,97301.0,West,OFF-AR-10000127,Office Supplies,Art,Newell 321,5.248,2.0,0.2,0.5903999999999991,2019,2018,1,Consistent,-158
6466.0,CA-2019-114503,13/11/2019,17/11/2019,Standard Class,AA-10375,Allen Armold,Consumer,United States,Lebanon,Tennessee,37087.0,South,OFF-ST-10003572,Office Supplies,Storage,Portfile Personal File Boxes,84.96000000000001,6.0,0.2,6.372,2019,2018,1,Consistent,-158
536.0,CA-2020-126613,10/07/2020,16/07/2020,Standard Class,AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204.0,West,OFF-ST-10001325,Office Supplies,Storage,Sterilite Officeware Hinged File Box,16.768,2.0,0.2,1.4672,2020,2018,1,Consistent,48
2264.0,CA-2020-131065,14/11/2020,16/11/2020,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318.0,South,TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,499.98,2.0,0.0,114.99540000000002,2020,2018,1,Consistent,48
2265.0,CA-2020-131065,14/11/2020,16/11/2020,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.28,1.0,0.0,2.376,2020,2018,1,Consistent,48
2266.0,CA-2020-131065,14/11/2020,16/11/2020,Second Class,AA-10375,Allen Armold,Consumer,United States,Atlanta,Georgia,30318.0,South,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",8.26,2.0,0.0,3.8822,2020,2018,1,Consistent,48
6748.0,CA-2021-100230,11/12/2021,15/12/2021,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035.0,East,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,14.952000000000002,1.0,0.2,5.0463,2021,2018,1,Consistent,32
6749.0,CA-2021-100230,11/12/2021,15/12/2021,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035.0,East,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,17.94,3.0,0.0,8.073,2021,2018,1,Consistent,32
6750.0,CA-2021-100230,11/12/2021,15/12/2021,Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,10035.0,East,TEC-PH-10004522,Technology,Phones,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,116.98,2.0,0.0,29.245000000000005,2021,2018,1,Consistent,32
9539.0,US-2021-169488,07/09/2021,09/09/2021,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908.0,East,OFF-PA-10002659,Office Supplies,Paper,Avoid Verbal Orders Carbonless Minifold Book,16.9,5.0,0.0,7.773999999999999,2021,2018,1,Consistent,32
9540.0,US-2021-169488,07/09/2021,09/09/2021,First Class,AA-10375,Allen Armold,Consumer,United States,Providence,Rhode Island,2908.0,East,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,39.96,2.0,0.0,18.7812,2021,2018,1,Consistent,32
1460.0,CA-2018-155271,04/05/2018,04/05/2018,Same Day,AA-10480,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457.0,East,FUR-FU-10001473,Furniture,Furnishings,DAX Wood Document Frame,27.46,2.0,0.0,9.8856,2018,2018,1,New,
,,,,,AA-10480,Andrew Allen,,,,,,,,,,,,,,,2019,2018,0,Sleeping,-158
3108.0,CA-2020-121671,17/07/2020,22/07/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807.0,Central,OFF-PA-10001471,Office Supplies,Paper,Strathmore Photo Frame Cards,21.93,3.0,0.0,10.087799999999998,2020,2018,1,Returning,48
3109.0,CA-2020-121671,17/07/2020,22/07/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807.0,Central,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3.0,0.0,4.858800000000016,2020,2018,1,Returning,48
3110.0,CA-2020-121671,17/07/2020,22/07/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807.0,Central,OFF-PA-10001892,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",7.64,1.0,0.0,3.7436,2020,2018,1,Returning,48
3111.0,CA-2020-121671,17/07/2020,22/07/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807.0,Central,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,51.84,8.0,0.0,25.401600000000002,2020,2018,1,Returning,48
3112.0,CA-2020-121671,17/07/2020,22/07/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807.0,Central,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,265.17,1.0,0.0,47.73059999999998,2020,2018,1,Returning,48
7703.0,CA-2020-114601,26/08/2020,02/09/2020,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Detroit,Michigan,48234.0,Central,OFF-PA-10000605,Office Supplies,Paper,Xerox 1950,11.56,2.0,0.0,5.6644000000000005,2020,2018,1,Returning,48
